zx_code_fldname,zx_code_value,zx_code_value_up,zx_code_cmmt,zx_code_desc1,zx_code_desc2,zx_code_rmk,zx_code_char#1,zx_code_char#2,zx_code_num#1,zx_code_num#2
CoA_ChromaScan,PHT685,,JPMA 1033,,MEDIUM GREY PART A,,,,0,0
CoA_ChromaScan,PHT806,,BS381C 671,,MIDDLE GRAPHITE PART A,,,,0,0
CoA_ChromaScan,PHU00D,,IP U00D,,RSN FRENCH GREY PART A,,,,0,0
CoA_ChromaScan,PHU00U,,CHUGOKU CS-625,,SIGNAL RED PART A,,,,0,0
CoA_ChromaScan,PHU07J,,MUNSELL 10YR8/2,,LIGHT SAND PART A,,,,0,0
CoA_ChromaScan,PHU07M,,FEDERAL 17925,,WHITE PART A,,,,0,0
CoA_ChromaScan,PHU089,,MUNSELL 2.5Y9/4,,CREAM PART A,,,,0,0
CoA_ChromaScan,PHU167,,MUNSELL 2.5Y8/16,,YELLOW PART A,,,,0,0
CoA_ChromaScan,PHU20G,,MUNSELL 2.5PB5/8,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHU23Q,,MUNSELL 5BG8/2,,LIGHT GREEN PART A,,,,0,0
CoA_ChromaScan,PHU23T,,CHUGOKU CS-658,,BUFF PART A,,,,0,0
CoA_ChromaScan,PHU24T,,MUNSELL 7.5GY8/3,,DARK GREEN PART A,,,,0,0
CoA_ChromaScan,PHU36K,,MUNSELL 5Y8/14,,BRIGHT YELLOW PART A,,,,0,0
CoA_ChromaScan,PHU39U,,IP U39U,,YELLOW GREY PART A,,,,0,0
CoA_ChromaScan,PHU40Q,,MUNSELL N1.5,,BLACK PART A,,,,0,0
CoA_ChromaScan,PHU40Y,,JPMA 65-80B,,BLUE GREY PART A,,,,0,0
CoA_ChromaScan,PHU43D,,MUNSELL 5PB6/10,,LIGHT BLUE PART A,,,,0,0
CoA_ChromaScan,PHU44P,,MUNSELL 7.5R5/14,,RED PART A,,,,0,0
CoA_ChromaScan,PHU58N,,KNS E-26709,,YELLOW PART A,,,,0,0
CoA_ChromaScan,PHU64E,,RAL9006,,RAL9006 GREY PART A,,,,0,0
